SeuqenceID,Lineage,Sublineage ,Type,LBI_value
TB-111-20151-19_S135,Lineage2,beijing,MDR,0.018929328
TB-111-15583-19_S278,Lineage2,beijing,MDR,0.022164091
TB-111-9083-18_S82,Lineage2,beijing,MDR,0.022164091
TB-444-2225-18_S25,Lineage2,beijing,MDR,0.014891398
TB-MoldovaSeq-DNA108-255_S109,Lineage2,beijing,MDR,0.015765565
TB-111-12506-19_S180,Lineage2,beijing,MDR,0.015164121
TB-111-3207-19_S75,Lineage2,beijing,MDR,0.025111634
TB-MoldovaSeq-DNA0272-3051_S82,Lineage2,beijing,Non-MDR,0.022815449
TB-MoldovaSeq-DNA025-11_S25,Lineage2,beijing,MDR,0.022890915
TB-MoldovaSeq-DNA0284-4250_S94,Lineage2,beijing,Non-MDR,0.022330866
TB-222-6743-19_S139,Lineage2,beijing,Non-MDR,0.021865932
TB-111-14875-19_S107,Lineage2,beijing,MDR,0.021404213
TB-111-720-19_S257,Lineage2,beijing,Non-MDR,0.020747237
TB-DNA0366_S223,Lineage2,beijing,MDR,0.021523454
TB-111-15806-18-138_S13,Lineage2,beijing,MDR,0.019575815
TB-111-8988-18_S22,Lineage2,beijing,MDR,0.019795534
TB-MoldovaSeq-DNA046-622_S46,Lineage2,beijing,MDR,0.023507179
TB-222-2445-19_S194,Lineage2,beijing,MDR,0.021520719
TB-222-147-18_S83,Lineage2,beijing,MDR,0.022443402
TB-333-2146-19_S45,Lineage2,beijing,MDR,0.022589228
TB-444-2588-18_S15,Lineage2,beijing,MDR,0.024809056
TB-444-6799-18_S53,Lineage2,beijing,MDR,0.024349829
TB-444-4195-18_S31,Lineage2,beijing,MDR,0.025313843
TB-444-4213-18_S99,Lineage2,beijing,MDR,0.023441198
TB-444-5337-19_S254,Lineage2,beijing,MDR,0.023290572
TB-MoldovaSeq-DNA183-708_S184,Lineage2,beijing,MDR,0.024825657
TB-MoldovaSeq-DNA187-3011_S188,Lineage2,beijing,MDR,0.024873698
TB-MoldovaSeq-DNA079-542_S79,Lineage2,beijing,MDR,0.024007629
TB-444-3404-18_S31,Lineage2,beijing,MDR,0.023093847
TB-444-3398-18_S34,Lineage2,beijing,MDR,0.023529363
TB-444-5101-18_S40,Lineage2,beijing,MDR,0.023531272
TB-MoldovaSeq-DNA061-706_S61,Lineage2,beijing,MDR,0.02309315
TB-MoldovaSeq-DNA050-353_S50,Lineage2,beijing,MDR,0.023540465
TB-444-6524-18_S134,Lineage2,beijing,MDR,0.021390032
TB-MoldovaSeq-DNA056-452_S56,Lineage2,beijing,MDR,0.02310902
TB-444-3833-18_S163,Lineage2,beijing,MDR,0.022803826
TB-444-4076-18_S98,Lineage2,beijing,MDR,0.022803826
TB-444-6232-18_S59,Lineage2,beijing,MDR,0.025119654
TB-MoldovaSeq-DNA078-354_S78,Lineage2,beijing,MDR,0.022377127
TB-444-990-19-138_S18,Lineage2,beijing,MDR,0.025022615
TB-444-3788-18_S160,Lineage2,beijing,MDR,0.02355713
TB-MoldovaSeq-DNA152-1941_S153,Lineage2,beijing,MDR,0.022677387
TB-MoldovaSeq-DNA161-1157_S162,Lineage2,beijing,MDR,0.022196582
TB-444-4372-18_S52,Lineage2,beijing,MDR,0.020895797
TB-MoldovaSeq-DNA154-2130_S155,Lineage2,beijing,MDR,0.021288086
TB-444-4320-18_S38,Lineage2,beijing,MDR,0.021289813
TB-444-4321-18_S39,Lineage2,beijing,MDR,0.021289813
TB-444-4316-18_S127,Lineage2,beijing,MDR,0.021288086
TB-444-3209-18_S44,Lineage2,beijing,MDR,0.021618142
TB-MoldovaSeq-DNA099-171_S100,Lineage2,beijing,MDR,0.020898703
TB-444-2743-19_S228,Lineage2,beijing,MDR,0.023558938
TB-444-1650-18_S16,Lineage2,beijing,MDR,0.022677336
TB-444-4579-19_S20,Lineage2,beijing,MDR,0.024125576
TB-MoldovaSeq-DNA080-523_S80,Lineage2,beijing,MDR,0.022758365
TB-111-15952-18_S73,Lineage2,beijing,MDR,0.021136895
TB-333-2024-19_S2,Lineage2,beijing,MDR,0.02154877
TB-MoldovaSeq-DNA031-74_S31,Lineage2,beijing,MDR,0.021521096
TB-MoldovaSeq-DNA190-2594_S191,Lineage2,beijing,MDR,0.021521096
TB-MoldovaSeq-DNA049-220_S49,Lineage2,beijing,MDR,0.021539755
TB-MoldovaSeq-DNA159-1163_S160,Lineage2,beijing,MDR,0.022818285
TB-111-4156-19_S187,Lineage2,beijing,MDR,0.023269177
TB-444-2768-18_S89,Lineage2,beijing,MDR,0.022820811
TB-444-4991-18_S27,Lineage2,beijing,MDR,0.023266199
TB-MoldovaSeq-DNA070-1319_S70,Lineage2,beijing,MDR,0.023240606
TB-MoldovaSeq-DNA123-1318_S124,Lineage2,beijing,MDR,0.023240606
TB-444-4429-19_S30,Lineage2,beijing,MDR,0.02238228
TB-444-5612-18_S51,Lineage2,beijing,MDR,0.023676451
TB-444-3963-18_S104,Lineage2,beijing,MDR,0.023678361
TB-444-5610-18_S50,Lineage2,beijing,MDR,0.023674541
TB-444-5626-18_S58,Lineage2,beijing,MDR,0.021921459
TB-MoldovaSeq-DNA057-674_S57,Lineage2,beijing,MDR,0.023680271
TB-444-4442-18_S123,Lineage2,beijing,MDR,0.02369392
TB-111-2072-19_S266,Lineage2,beijing,MDR,0.023237345
TB-444-3933-18_S165,Lineage2,beijing,MDR,0.023243709
TB-MoldovaSeq-DNA059-526_S59,Lineage2,beijing,MDR,0.022357476
TB-MoldovaSeq-DNA034-100_S34,Lineage2,beijing,MDR,0.023689017
TB-MoldovaSeq-DNA015-360_S15,Lineage2,beijing,MDR,0.023229717
TB-444-2623-18_S14,Lineage2,beijing,MDR,0.022783797
TB-MoldovaSeq-DNA047-668_S47,Lineage2,beijing,MDR,0.021479032
TB-444-6731-18_S131,Lineage2,beijing,MDR,0.025450485
TB-444-6152-18_S102,Lineage2,beijing,MDR,0.024026725
TB-MoldovaSeq-DNA055-99_S55,Lineage2,beijing,MDR,0.021815051
TB-MoldovaSeq-DNA027-35_S27,Lineage2,beijing,MDR,0.024026698
TB-444-4234-18_S111,Lineage2,beijing,MDR,0.022255424
TB-MoldovaSeq-DNA131-986_S132,Lineage2,beijing,MDR,0.024406415
TB-MoldovaSeq-DNA032-76_S32,Lineage2,beijing,MDR,0.023583494
TB-MoldovaSeq-DNA001-647_S1,Lineage2,beijing,MDR,0.021828875
TB-444-6584-18_S50,Lineage2,beijing,MDR,0.024520448
TB-MoldovaSeq-DNA148-1791_S149,Lineage2,beijing,MDR,0.024046015
TB-444-5382-18_S181,Lineage2,beijing,MDR,0.02225364
TB-444-4571-18_S30,Lineage2,beijing,MDR,0.023346567
TB-444-4580-19_S21,Lineage2,beijing,Non-MDR,0.02426877
TB-MoldovaSeq-DNA157-2066_S158,Lineage2,beijing,MDR,0.026199676
TB-444-5959-18_S49,Lineage2,beijing,MDR,0.021588007
TB-MoldovaSeq-DNA026-12_S26,Lineage2,beijing,MDR,0.02023334
TB-111-10472-18_S159,Lineage2,beijing,MDR,0.022013309
TB-444-2375-18_S10,Lineage2,beijing,MDR,0.022476305
TB-MoldovaSeq-DNA088-806_S88,Lineage2,beijing,MDR,0.021743964
TB-444-4934-19_S86,Lineage2,beijing,MDR,0.022037119
TB-444-4606-19_S79,Lineage2,beijing,MDR,0.024271417
TB-MoldovaSeq-DNA180-2298_S181,Lineage2,beijing,MDR,0.024273387
TB-MoldovaSeq-DNA174-2305_S175,Lineage2,beijing,MDR,0.024729165
TB-MoldovaSeq-DNA139-1997_S140,Lineage2,beijing,MDR,0.026208976
TB-444-715-19-138_S17,Lineage2,beijing,MDR,0.023857897
TB-444-3916-18_S167,Lineage2,beijing,MDR,0.023390697
TB-444-3952-18_S162,Lineage2,beijing,MDR,0.023856025
TB-444-2523-18_S196,Lineage2,beijing,MDR,0.023399985
TB-MoldovaSeq-DNA166-2098_S167,Lineage2,beijing,MDR,0.022079952
TB-MoldovaSeq-DNA155-1090_S156,Lineage2,beijing,MDR,0.023850294
TB-MoldovaSeq-DNA076-603_S76,Lineage2,beijing,MDR,0.024302098
TB-MoldovaSeq-DNA096-134_S97,Lineage2,beijing,MDR,0.024302055
TB-MoldovaSeq-DNA104-59_S105,Lineage2,beijing,MDR,0.021240618
TB-MoldovaSeq-DNA124-1548_S125,Lineage2,beijing,MDR,0.023842998
TB-MoldovaSeq-DNA153-1687_S154,Lineage2,beijing,MDR,0.020440424
TB-444-4256-19_S3,Lineage2,beijing,MDR,0.02473561
TB-444-6068-18_S49,Lineage2,beijing,MDR,0.02473561
TB-444-2479-18_S195,Lineage2,beijing,MDR,0.022899012
TB-333-3243-19_S182,Lineage2,beijing,MDR,0.020267879
TB-111-6600-19_S210,Lineage2,beijing,MDR,0.023600716
TB-222-6759-18_S215,Lineage2,beijing,Non-MDR,0.021735624
TB-111-548-18_S84,Lineage2,beijing,MDR,0.017715056
TB-444-4060-19_S76,Lineage2,beijing,MDR,0.018069726
TB-111-17963-18-138_S99,Lineage2,beijing,MDR,0.020000115
TB-DNA0377_S234,Lineage2,beijing,MDR,0.017936062
TB-111-24231-18F_S20,Lineage2,beijing,MDR,0.019324103
TB-111-14610-19_S156,Lineage2,beijing,MDR,0.021110758
TB-111-17835-18_S147,Lineage2,beijing,MDR,0.020706626
TB-111-1791-19-138_S93,Lineage2,beijing,MDR,0.020209891
TB-MoldovaSeq-DNA121-1200_S122,Lineage2,beijing,MDR,0.023048133
TB-444-6285-18_S99,Lineage2,beijing,MDR,0.022604934
TB-MoldovaSeq-DNA106-324_S107,Lineage2,beijing,MDR,0.023483716
TB-MoldovaSeq-DNA136-2044_S137,Lineage2,beijing,MDR,0.015584584
TB-MoldovaSeq-DNA144-751_S145,Lineage2,beijing,MDR,0.014967405
TB-333-2444-19_S55,Lineage2,beijing,MDR,0.022311862
TB-MoldovaSeq-DNA0230-5545_S40,Lineage2,beijing,MDR,0.021885238
TB-MoldovaSeq-DNA171-2227_S172,Lineage2,beijing,MDR,0.021864005
TB-111-211-19_S122,Lineage2,beijing,MDR,0.023253348
TB-444-4679-18_S32,Lineage2,beijing,MDR,0.02280799
TB-MoldovaSeq-DNA149-1039_S150,Lineage2,beijing,MDR,0.02365259
TB-444-2303-19_S28,Lineage2,beijing,MDR,0.019549157
TB-444-6103-18_S47,Lineage2,beijing,MDR,0.019549157
TB-MoldovaSeq-DNA018-352_S18,Lineage2,beijing,MDR,0.023395633
TB-444-4175-18_S101,Lineage2,beijing,MDR,0.022073436
TB-111-22750-18F_S233,Lineage2,beijing,MDR,0.020048453
TB-111-21011-18-138_S132,Lineage2,beijing,MDR,0.020432758
TB-MoldovaSeq-DNA0229-3379_S39,Lineage2,beijing,MDR,0.020054619
TB-111-6780-19_S146,Lineage2,beijing,MDR,0.021249283
TB-111-5634-19_S134,Lineage2,beijing,MDR,0.021666684
TB-444-6008-18_S46,Lineage2,beijing,MDR,0.020753453
TB-111-19945-18_S91,Lineage2,beijing,MDR,0.023307123
TB-222-2670-19_S87,Lineage2,beijing,MDR,0.019597132
TB-444-3082-18_S35,Lineage2,beijing,MDR,0.021561076
TB-444-3106-18_S205,Lineage2,beijing,MDR,0.021984615
TB-444-2677-18_S26,Lineage2,beijing,MDR,0.017834777
TB-111-19840-18_S164,Lineage2,beijing,MDR,0.021921088
TB-MoldovaSeq-DNA073-475_S73,Lineage2,beijing,MDR,0.019929914
TB-111-16810-18_S139,Lineage2,beijing,MDR,0.020922512
TB-MoldovaSeq-DNA0239-4349_S49,Lineage2,beijing,MDR,0.01977357
TB-MoldovaSeq-DNA0291-5375_S294,Lineage2,beijing,MDR,0.023394825
TB-111-5047-19_S52,Lineage2,beijing,MDR,0.009658204
TB-222-2944-19_S3,Lineage2,beijing,Non-MDR,0.008240865
TB-111-6978-19_S69,Lineage4,OtherLin4,Non-MDR,0.00196572
TB-333-1701-19_S92,Lineage4,OtherLin4,Non-MDR,0.001809327
TB-222-1269-18_S106,Lineage4,OtherLin4,Non-MDR,0.001796353
TB-222-551-18_S12,Lineage4,OtherLin4,Non-MDR,0.002032819
TB-222-6290-18_S1,Lineage4,OtherLin4,Non-MDR,0.001961962
TB-111-20976-18_S25,Lineage4,OtherLin4,Non-MDR,0.002511868
TB-222-5353-19_S266,Lineage4,OtherLin4,Non-MDR,0.002813602
TB-MoldovaSeq-DNA115-1414_S116,Lineage4,OtherLin4,Non-MDR,0.001996211
TB-111-7534-18_S114,Lineage4,OtherLin4,Non-MDR,0.002133864
TB-MoldovaSeq-DNA0325-4893_S328,Lineage4,OtherLin4,Non-MDR,0.002133864
TB-111-17296-19_S162,Lineage4,OtherLin4,Non-MDR,0.001787941
TB-333-2773-19_S6,Lineage4,OtherLin4,Non-MDR,0.002178721
TB-MoldovaSeq-DNA0212-3478_S22,Lineage4,OtherLin4,Non-MDR,0.002460337
TB-222-15-18-138_S54,Lineage4,OtherLin4,Non-MDR,0.002518994
TB-444-5319-19_S39,Lineage4,OtherLin4,Non-MDR,0.002639204
TB-333-2437-19_S190,Lineage4,haarlem,Non-MDR,0.005109716
TB-MoldovaSeq-DNA0313-5607_S316,Lineage4,haarlem,Non-MDR,0.006073014
TB-111-20092-18_S170,Lineage4,haarlem,Non-MDR,0.007349905
TB-MoldovaSeq-DNA0305-5704_S308,Lineage4,haarlem,Non-MDR,0.007790276
TB-111-19159-19_S128,Lineage4,haarlem,Non-MDR,0.008803641
TB-111-13703-18_S160,Lineage4,haarlem,Non-MDR,0.009877223
TB-111-6296-19_S207,Lineage4,haarlem,Non-MDR,0.009877223
TB-111-7226-18_S180,Lineage4,haarlem,Non-MDR,0.009877967
TB-111-7631-18_S187,Lineage4,haarlem,Non-MDR,0.010265737
TB-111-24163-18F_S222,Lineage4,haarlem,Non-MDR,0.008994105
TB-111-18206-18_S158,Lineage4,haarlem,Non-MDR,0.010040087
TB-111-15790-19_S8,Lineage4,haarlem,Non-MDR,0.009851341
TB-222-998-19_S59,Lineage4,haarlem,Non-MDR,0.009236
TB-111-18328-18_S154,Lineage4,haarlem,Non-MDR,0.008042871
TB-222-1043-18_S77,Lineage4,haarlem,Non-MDR,0.009411212
TB-333-1891-19_S95,Lineage4,haarlem,Non-MDR,0.008777386
TB-222-5734-19_S222,Lineage4,haarlem,Non-MDR,0.006501313
TB-111-19046-19_S52,Lineage4,haarlem,Non-MDR,0.008743379
TB-MoldovaSeq-DNA0240-3448_S50,Lineage4,haarlem,Non-MDR,0.008643741
TB-222-5797-19_S233,Lineage4,haarlem,Non-MDR,0.008638275
TB-111-20828-18_S13,Lineage4,haarlem,Non-MDR,0.007094816
TB-111-2839-19_S116,Lineage4,haarlem,Non-MDR,0.006847815
TB-111-18888-19_S17,Lineage4,haarlem,Non-MDR,0.00740236
TB-333-4137-19_S67,Lineage4,haarlem,Non-MDR,0.008459871
TB-333-4547-19-138_S112,Lineage4,haarlem,Non-MDR,0.00788044
TB-444-4960-18_S28,Lineage4,haarlem,Non-MDR,0.008041623
TB-MoldovaSeq-DNA0194-2350_S4,Lineage4,haarlem,Non-MDR,0.00834802
TB-111-2677-19_S231,Lineage4,haarlem,Non-MDR,0.007907455
TB-111-2034-19_S234,Lineage4,haarlem,Non-MDR,0.006949311
TB-444-3910-18_S187,Lineage4,haarlem,Non-MDR,0.008199205
TB-222-7009-19_S243,Lineage4,haarlem,Non-MDR,0.007599046
TB-111-17270-19_S77,Lineage4,haarlem,Non-MDR,0.007099787
TB-111-16019-19_S41,Lineage4,haarlem,Non-MDR,0.007094431
TB-111-18067-19_S29,Lineage4,haarlem,Non-MDR,0.007094431
TB-222-5795-19_S232,Lineage4,haarlem,Non-MDR,0.008369442
TB-222-5767-19_S223,Lineage4,haarlem,Non-MDR,0.008369448
TB-222-5840-19_S234,Lineage4,haarlem,Non-MDR,0.008499437
TB-111-19821-19_S112,Lineage4,haarlem,Non-MDR,0.007752481
TB-111-18994-18_S55,Lineage4,haarlem,Non-MDR,0.007936804
TB-MoldovaSeq-DNA0333-5339_S336,Lineage4,haarlem,Non-MDR,0.008347826
TB-111-11380-19_S160,Lineage4,haarlem,Non-MDR,0.008294686
TB-222-352-19_S86,Lineage4,haarlem,Non-MDR,0.007154831
TB-222-740-18_S63,Lineage4,haarlem,Non-MDR,0.007627261
TB-333-5723-19_S163,Lineage4,haarlem,Non-MDR,0.007998883
TB-555-1951-19_S2,Lineage4,haarlem,Non-MDR,0.007675288
TB-111-8852-18_S70,Lineage4,haarlem,Non-MDR,0.008085659
TB-111-4672-19_S15,Lineage4,haarlem,Non-MDR,0.007912734
TB-111-8900-18_S84,Lineage4,haarlem,Non-MDR,0.00821913
TB-111-20247-19_S92,Lineage4,haarlem,Non-MDR,0.006896995
TB-111-17608-19_S286,Lineage4,haarlem,Non-MDR,0.007281732
TB-MoldovaSeq-DNA0329-5055_S332,Lineage4,haarlem,Non-MDR,0.008045455
TB-111-8849-18_S63,Lineage4,haarlem,Non-MDR,0.00383852
TB-111-17687-18_S110,Lineage4,haarlem,Non-MDR,0.005576919
TB-111-15150-18_S159,Lineage4,haarlem,Non-MDR,0.006183846
TB-333-2786-19_S71,Lineage4,haarlem,Non-MDR,0.005453562
TB-111-6125-19_S208,Lineage4,haarlem,Non-MDR,0.006633993
TB-111-9342-18_S117,Lineage4,haarlem,Non-MDR,0.006507475
TB-111-2533-18_S232,Lineage4,haarlem,Non-MDR,0.006762821
TB-MoldovaSeq-DNA072-418_S72,Lineage4,haarlem,Non-MDR,0.007304574
TB-DNA0353_S210,Lineage4,haarlem,Non-MDR,0.00875335
TB-MoldovaSeq-DNA0268-3567_S78,Lineage4,haarlem,Non-MDR,0.00875335
TB-MoldovaSeq-DNA0246-3244_S56,Lineage4,haarlem,Non-MDR,0.009449525
TB-222-7061-18_S64,Lineage4,haarlem,Non-MDR,0.009274894
TB-MoldovaSeq-DNA0234-2675_S44,Lineage4,haarlem,Non-MDR,0.008270329
TB-222-5556-19_S228,Lineage4,haarlem,Non-MDR,0.008739993
TB-111-14743-18_S187,Lineage4,haarlem,Non-MDR,0.009074917
TB-333-1410-19_S94,Lineage4,haarlem,Non-MDR,0.009245773
TB-222-2699-19_S89,Lineage4,haarlem,Non-MDR,0.009426408
TB-111-9822-18_S149,Lineage4,haarlem,Non-MDR,0.007974838
TB-MoldovaSeq-DNA0287-5505_S290,Lineage4,haarlem,Non-MDR,0.009425699
TB-DNA0370_S227,Lineage4,haarlem,Non-MDR,0.009533554
TB-111-20082-19_S83,Lineage4,haarlem,Non-MDR,0.006424665
TB-111-20084-19_S84,Lineage4,haarlem,Non-MDR,0.006424665
TB-111-7995-18_S170,Lineage4,haarlem,Non-MDR,0.007581076
TB-222-4349-18_S211,Lineage4,haarlem,Non-MDR,0.008980943
TB-222-3847-18_S60,Lineage4,haarlem,MDR,0.00632809
TB-222-3118-18-138_S5,Lineage4,haarlem,Non-MDR,0.006631761
TB-222-4191-18_S170,Lineage4,haarlem,Non-MDR,0.006770469
TB-444-4187-19_S287,Lineage4,haarlem,Non-MDR,0.006891107
TB-MoldovaSeq-DNA178-1992_S179,Lineage4,haarlem,Non-MDR,0.007314014
TB-111-12915-18_S65,Lineage4,haarlem,Non-MDR,0.003578782
TB-111-7332-18_S185,Lineage4,haarlem,Non-MDR,0.00663524
TB-444-3272-18_S17,Lineage4,haarlem,Non-MDR,0.005617106
TB-222-2526-19_S187,Lineage4,haarlem,Non-MDR,0.006564855
TB-222-4541-18_S172,Lineage4,haarlem,Non-MDR,0.004985021
TB-111-276-18-138_S146,Lineage4,haarlem,Non-MDR,0.007393415
TB-111-20511-18_S10,Lineage4,haarlem,Non-MDR,0.006372757
